SETOR;DATA;DATA COMPLETA
V1;09/04/2024;segunda-feira, 15 de abril de 2024
V1;16/04/2024;terça-feira, 16 de abril de 2024
V2;17/04/2024;quarta-feira, 17 de abril de 2024
V2;18/04/2024;quinta-feira, 18 de abril de 2024
V3;19/04/2024;sexta-feira, 19 de abril de 2024
V3;20/04/2024;sábado, 20 de abril de 2024
V0;21/04/2024;domingo, 21 de abril de 2024
V4;22/04/2024;segunda-feira, 22 de abril de 2024
V4;23/04/2024;terça-feira, 23 de abril de 2024
V5;24/04/2024;quarta-feira, 24 de abril de 2024
V5;25/04/2024;quinta-feira, 25 de abril de 2024
V6;26/04/2024;sexta-feira, 26 de abril de 2024
V6;27/04/2024;sábado, 27 de abril de 2024
V0;28/04/2024;domingo, 28 de abril de 2024
V1;29/04/2024;segunda-feira, 29 de abril de 2024
V1;30/04/2024;terça-feira, 30 de abril de 2024
V2;01/05/2024;quarta-feira, 1 de maio de 2024
V2;02/05/2024;quinta-feira, 2 de maio de 2024
V3;03/05/2024;sexta-feira, 3 de maio de 2024
V3;04/05/2024;sábado, 4 de maio de 2024
V0;05/05/2024;domingo, 5 de maio de 2024
V4;06/05/2024;segunda-feira, 6 de maio de 2024
V4;07/05/2024;terça-feira, 7 de maio de 2024
V5;08/05/2024;quarta-feira, 8 de maio de 2024
V5;09/05/2024;quinta-feira, 9 de maio de 2024
V6;10/05/2024;sexta-feira, 10 de maio de 2024
V6;11/05/2024;sábado, 11 de maio de 2024
V0;12/05/2024;domingo, 12 de maio de 2024
V1;13/05/2024;segunda-feira, 13 de maio de 2024
V1;14/05/2024;terça-feira, 14 de maio de 2024
V2;15/05/2024;quarta-feira, 15 de maio de 2024
V2;16/05/2024;quinta-feira, 16 de maio de 2024
V3;17/05/2024;sexta-feira, 17 de maio de 2024
V3;18/05/2024;sábado, 18 de maio de 2024
V0;19/05/2024;domingo, 19 de maio de 2024
V4;20/05/2024;segunda-feira, 20 de maio de 2024
V4;21/05/2024;terça-feira, 21 de maio de 2024
V5;22/05/2024;quarta-feira, 22 de maio de 2024
V5;23/05/2024;quinta-feira, 23 de maio de 2024
V6;24/05/2024;sexta-feira, 24 de maio de 2024
V6;25/05/2024;sábado, 25 de maio de 2024
V0;26/05/2024;domingo, 26 de maio de 2024
V1;27/05/2024;segunda-feira, 27 de maio de 2024
V1;28/05/2024;terça-feira, 28 de maio de 2024
V2;29/05/2024;quarta-feira, 29 de maio de 2024
V2;30/05/2024;quinta-feira, 30 de maio de 2024
V3;31/05/2024;sexta-feira, 31 de maio de 2024
V3;01/06/2024;sábado, 1 de junho de 2024
V0;02/06/2024;domingo, 2 de junho de 2024
V4;03/06/2024;segunda-feira, 3 de junho de 2024
V4;04/06/2024;terça-feira, 4 de junho de 2024
V5;05/06/2024;quarta-feira, 5 de junho de 2024
V5;06/06/2024;quinta-feira, 6 de junho de 2024
V6;07/06/2024;sexta-feira, 7 de junho de 2024
V6;08/06/2024;sábado, 8 de junho de 2024
V0;09/06/2024;domingo, 9 de junho de 2024
V1;10/06/2024;segunda-feira, 10 de junho de 2024
V1;11/06/2024;terça-feira, 11 de junho de 2024
V2;12/06/2024;quarta-feira, 12 de junho de 2024
V2;13/06/2024;quinta-feira, 13 de junho de 2024
V3;14/06/2024;sexta-feira, 14 de junho de 2024
V3;15/06/2024;sábado, 15 de junho de 2024
V0;16/06/2024;domingo, 16 de junho de 2024
V4;17/06/2024;segunda-feira, 17 de junho de 2024
V4;18/06/2024;terça-feira, 18 de junho de 2024
V5;19/06/2024;quarta-feira, 19 de junho de 2024
